noun_phrase,frequency
Social Bookmarking,1
Qualitative Analysis,1
Detecting Communities,1
Discovering Communities,1
Key-Player Problem,1
Terrorist Networks,1
Collaborative Filtering,1
Neighbors,1
Each User,1
Mobile Speech,1
Event-Based,1
Publish/Subscribe Communication,1
Advanced Hands,1
Eyes Interaction,1
Context Awareness,1
Smart Items,1
PROMISE,1
Federated Interaction,1
A Focus,1
Location Context,1
Opportunistic,1
CoBIs,1
the User,1
Adaptive Security,1
Bionics,1
Accounting,1
Charging,1
Ubiquitous Services,1
Power IC,1
VLSI Technologies,1
Oversampled,1
Analog-to-Digital,1
Digital-to-Analog Converters,1
Networks with,1
and OR,1
Bipolar Amplifier,1
Communication Circuits,1
ATPG,1
BIST,1
CAD Tools,1
Dividers,1
Logic Properties,1
Transistor Circuits,1
Adders,1
Hardware Description,1
Verilog,1
Performance Modeling,1
VHDL,1
Basic Theory,1
Integrity Analysis,1
Interconnect Modeling,1
Expressions,1
Logic Design,1
Optimizations,1
Two Phases,1
ROM/PROM/EPROM,1
Negative Gates,1
Compound,1
Semiconductor Devices,1
Bipolar Junction,1
Transistor,1
BJT,1
Memories,1
Testability,1
Low-Power Memory,1
Silicon,1
Insulator Technology,1
Simplification,1
Logic Expressions,1
IMEDA,1
Packaging,1
Dynamic Random,1
Access Memory,1
NAND,1
NOR,1
Mask-Programmable Gate,1
SRAM,1
Transconductance Amplifiers,1
PLL Circuits,1
Amplifier Design,1
MESFET,1
Programmable,1
Logic Devices,1
The VLSI,1
MOS Transistors,1
Deuterium Anneal,1
Two Levels,1
Transistors,1
CMC Research,1
Stance-Shift Analysis,1
Adult Learning,1
Cyber-Bullying,1
Computer Mediated,1
Negotiations,1
Deception,1
Terminological Obfuscation,1
Online Research,1
Librarians,1
Human-Robot,1
Knowledge Communication,1
Shared Databases,1
Emergent Networks,1
Computer-Supported Groups,1
Speech Technology,1
Building Identity,1
Online Collaboration,1
IM 's,1
Benefits,1
Reviewer Motivations,1
Credibility,1
Online Reviews,1
the Enhancement,1
Psychotherapy,1
P2P File,1
Discourse,1
Learning Conversations,1
Instant Messaging,1
a Hypermedium,1
Education 's,1
Linguistics,1
Computer-Mediated Communication,1
Virtual Collaboration,1
Accessible Design,1
the Nature,1
Far,1
Visit,1
E-Mail Discussions,1
Deceptive Communication,1
E-Collaboration,1
Discussion Groups,1
SMS,1
Messages,1
Nigeria,1
The Impact,1
Personality,1
Social Interaction,1
RSS,1
An Analysis,1
a Decade,1
Global Culture,1
E-Mentoring,1
2 Volumes,1
Ye,1
Teaching Credibility,1
an Age,1
Preparing Participants,1
Online Courses,1
the Best,1
Mix,1
Face-to-Face,1
E-Interactions,1
Educational Settings,1
Sense,1
Virtual Community,1
Story,1
the Credibility,1
Blogs,1
Metacommunication,1
Composing Identity,1
Midwifery,1
Information Commons,1
2.0 Technologies,1
Digital Storytelling,1
YouTube,1
The Psychology,1
Stay Tuned,1
Podcast U,1
the Data,1
M-Learning,1
WebCom,1
CMC Technologies,1
Academic Libraries,1
Publishing,1
Chat Rooms,1
Language Teaching,1
Podcastia,1
Nanoelectronic-Based Detection,1
Learning Automata,1
Medical Automation,1
Financial Services,1
Home Appliances,1
Education/Learning Systems,1
Machining Lines,1
Real-Time Autonomic,1
Tool Automation,1
Design Automation,1
Safety Warnings,1
Networking,1
Economic Rationalization,1
Automation Projects,1
Rotary,1
Computer-Aided Engineering,1
Teleoperation,1
A History,1
Automation Design,1
Advanced Techniques,1
Welding,1
Service Robots,1
the Disabled/Limited,1
Collaborative Analytics,1
Astrophysics Explorations,1
Agent Software,1
Collaborative e-Work,1
e-Business,1
e-Service,1
Individual Impacts,1
Digital Manufacturing,1
RFID-Based Automation,1
Impacts,1
e-Commerce,1
Us,1
the World,1
Supply,1
Logistics,1
Mineral Processing,1
Control System,1
Flexible,1
Precision Assembly,1
Springer Handbook,1
Food Processing,1
Evolutionary Techniques,1
Large-Scale Complex,1
Technology Services,1
Hospitals,1
Medical Informatics,1
Biomedical Systems,1
Material Handling,1
Warehouse Systems,1
Robot-Assisted Medical,1
Semiconductor Manufacturing,1
Industrial Automation,1
Maintainability,1
Safety,1
Flight Deck,1
Mechatronic Systems,1
Service-Oriented Grids,1
Economic Aspects,1
Uncertain Systems,1
Systems Biology,1
Integrated Human,1
Automation Systems,1
Cleaning,1
Industrial Communication,1
Game Bot,1
Massive Multiplayer,1
Crowd Evacuation,1
Simulation Techniques,1
Image-Guided Surgery,1
MEEGA +,1
MEEGA,1
Systematic Model,1
Educational Games,1
Uncanny Valley,1
Cybersickness,1
Stress Reduction,1
Relaxation,1
Meditative States,1
Psychophysiological Measurements,1
Biofeedback Systems,1
Active Aging,1
Game Interface,1
Influence,1
Diegese Theory,1
Rigid Bodies,1
E-motion-S,1
Redesigning Games,1
New Interfaces,1
Player-Avatar Link,1
Support Education,1
Post-Digital Graphics,1
Player Personas,1
Game Choice,1
Children 's,1
Turtle,1
Squirtle,1
Setting,1
Sonic Interactions,1
Gamified Presence,1
Storytelling,1
Virtual Museums,1
Interactive Art,1
Walking,1
StarCraft,1
Modern Society,1
Diffusion-Reaction Problems,1
Toys,1
Analog Prototyping,1
Early Verticals,1
Limitations,1
Comic Arts,1
Asset Production,1
Game,1
Innovative Technology,1
2D Image,1
the iPad,1
Rehabilitation Games,1
System Fidelity,1
Mobile Cloud,1
3D Visualization,1
Temporal Analysis,1
3D Printing,1
Game World,1
Game-Based Interventions,1
Public Health,1
Gameplay,1
Hypermedia Narrative,1
Videogame Engagement,1
Psychological Frameworks,1
3D-Rendered Images,1
Their Application,1
3D Modelling,1
Photogrammetry,1
Spatial Skills,1
Face Beautification,1
Antiage,1
New Media,1
IEC,1
Evaluational Computation,1
Movie-Making,1
Spatiotemporal Dynamics,1
Procedural Audio,1
Gaming Scalability,1
Advertising Campaigns,1
Future Trends,1
Emotional Congruence,1
School Education,1
Challenge-Based Learning,1
Online Players,1
Engagement,1
Immersion,1
Absorption,1
Secondary Worlds,1
Multivariate Visualization,1
Scatterplots,1
Multi-Player-Games,1
their Impact,1
Today 's,1
Character Behaviors,1
Social Virtual,1
Holography,1
Monte-Carlo Tree,1
Effects Workflow,1
Client/Server,1
Position,1
Digital Games,1
Animals,1
Tensor Field,1
Genetic Algorithm,1
Based NPC,1
Game Agents,1
Simulated Evolution,1
2-Simplex Prism,1
Raycasting,1
Alienation,1
Sketch-Based,1
3D Animation,1
Scalable Techniques,1
Minkowski-Lorentz Spaces,1
Mindfulness,1
Locomotion,1
Psychological Game,1
Immersive Auralization,1
Headphones,1
Character Animation,1
Scripting Environment,1
Triangular Mesh,1
Game Loop,1
Typical Implementation,1
Deformation Models,1
Political Game,1
Analysis Models,1
Pervasive Games,1
User-Centered Design,1
Transformational Games,1
Medical Education,1
Virtual World,1
Mesh Processing,1
RTS AI,1
Postproduction,1
Game Cinematics,1
STEM Learning,1
Therapy,1
Natural Walking,1
the Box,1
User Acoustics,1
Shadow Shooter,1
All-Around Game,1
e-Yumi 3D,1
Interactive Computer,1
Model-View-Controller Architecture,1
Crowdsourcing Applications,1
Game Trolls,1
Dopamine Withdrawal,1
Computer Graphics,1
Re,1
Inclusive Well-Being,1
Audiogame,1
Pipeline,1
Television Series,1
Human-Robot Interaction,1
Procedural Texturing,1
Cognitive Processing,1
Substitutional,1
Spatial Perception,1
Retailing,1
Gamification Ethics,1
Cheat-Resistant Protocols,1
Exercise,1
Enactment,1
Professional Responsibility,1
Clothing,1
Volume,1
Volume Visualization,1
Thrashing,1
Untimed Models,1
their Analysis,1
Computer Interaction,1
Multigrid Methods,1
CMM,1
Disk,1
Robot Path,1
Great Principles,1
Behavioral Sciences,1
Dataflow Computers,1
Their History,1
Future,1
Dictionaries,1
Translation Software,1
Web Dictionaries,1
Programmable Logic,1
Parameter,1
Passing,1
Autonomy-Oriented Computing,1
AOC,1
Radiosity,1
Rapid Prototyping,1
Asynchronous Transfer,1
Mode Networks,1
Nonlinear Programming,1
Time-Sharing Systems,1
an Introduction,1
Transport,1
Finite Element,1
3-D Point,1
Direct,1
Analytical,1
Formal Program,1
Temporal Databases,1
Surface Rendering,1
Grids,1
Rollback-Dependency Trackability,1
Posets,1
Lattices,1
Electronic Calculators,1
System Architectures,1
Throughput,1
Aircraft Computers,1
The Relevance,1
Design Techniques,1
Lighting,1
Fluency,1
Complexity Theory,1
Parallel Programming,1
Geometric Camera,1
the State-of-the-Art,1
Web Intelligence,1
WI,1
Algorithm-Based,1
Fault-Tolerant Cryptography,1
Client,1
Groups,1
Peer-to-Peer,1
Stock Markets,1
Video Conferencing,1
IP Telephony,1
Bioinformatic Databases,1
Analog-to-Digital Conversion,1
Large-Scale Group,1
Collaboration Systems,1
Robot,1
Virtual Memory,1
Buffer Storage,1
Component-Based,1
Middleware for,1
Fiber-Optic Communication,1
Women,1
Spellchecker,1
Warehouse,1
Visual Programming,1
Web-Based Issues,1
Program Transformation,1
Edge Detection,1
Grayscale,1
Range Images,1
Reason,1
Maintenance Systems,1
Interconnection Networks,1
Parallel Computers,1
Instruction,1
Proofs,1
Correctness,1
Wiley Encyclopedia,1
Robotic,1
Tactile Sensors,1
Failure Detectors,1
Perceptual Grouping,1
Shared Memory,1
Surveillance Systems,1
CoXML,1
Software Quality,1
Classification Models,1
High-Quality Texture,1
Point Models,1
Bayesian Belief,1
Speculation,1
Scale-Space,1
Wide Area,1
Active Contours,1
Snakes,1
Parallel Architectures,1
Transaction Processing,1
Fractals,1
Cognitive Systems,1
Cognitive Architectures,1
Communication Processors,1
Wireless Systems,1
Lambda-Calculus,1
Microcomputers,1
Ray Tracing,1
Acceleration Techniques,1
Computing Accreditation,1
Robot Selection,1
Overhead,1
Computability,1
Software Performance,1
Multimedia Retrieval,1
Digital Sound,1
Multimedia Audio,1
Visual,1
Geometric Modeling,1
Projective Geometry,1
Acceleration,1
Vector Sequences,1
Spatial Databases,1
Nuclear Reactor,1
Instrumentation,1
Deductive Databases,1
Working,1
Color Models,1
Computational Number,1
Neural Controllers,1
Hoc,1
OS,1
Large Databases,1
Distance Education,1
Mixed,1
Integer Programming,1
Level,1
Artifical,1
Intelligence Languages,1
Telecommunications Systems,1
New Artifacts,1
Errors,1
Input Devices,1
Collaborative Development,1
Congestion Control,1
Image Segmentation,1
Region,1
Watershed Algorithms,1
Software Metrics,1
Answer,1
Assembly,1
Neural Computation,1
Compression Codes,1
Lossy,1
Data Storage,1
Magnetic Disks,1
Uncertainty Principle,1
CD-ROMs,1
Computer Systems,1
Transaction,1
Decentralized Systems,1
Computational Materials,1
Physics,1
Service-Oriented,1
Computational Modeling,1
Olfactory Behavior,1
Population Density,1
Biochemical Signaling,1
Pathways,1
Diffusion,1
Salamander,1
Neural Data,1
Hippocampal Memory,1
Prosthesis,1
Multi-objective,1
Network Theory,1
Neuroscience,1
Functional Neuroscience,1
Cortical Control,1
Limb Prosthesis,1
Epiretinal Devices,1
Synthetic,1
Neuronal Circuits/Networks,1
Neurons,1
Numerical Integration,1
Resistivity,1
Axial,1
Model Databases,1
Acoustic Timbre,1
Brain,1
Electrophysiological Indices,1
Speech Processing,1
Habit Formation,1
Mixed-Mode Oscillations,1
Spindle Oscillations,1
Bifurcations Dynamics,1
Reward-Based Learning,1
Continuum Theory,1
Optic Flow,1
Long-Term Plasticity,1
Directed Information,1
Neural Systems,1
Neural Population,1
Pathological Changes,1
MOOSE,1
Vestibular Adaptation,1
Compensation,1
Bradykinesia,1
Migraines,1
Mammals,1
Dopaminergic Cell,1
Bayesian Approaches,1
Perceptual Decision,1
Synaptic Connectivity,1
Bayesian Inference,1
Spiking Neurons,1
Cortical Networks,1
Thermodynamic Models,1
an Engine,1
Exploration,1
Obesity,1
AMPA,1
Glutamate Receptor,1
AMPA Receptor,1
Texture,1
Retinal Waves,1
Spectral Interdependency,1
Behavioural Analysis,1
Visual Illusions,1
Source Brain,1
Categorical Decisions,1
Dynamic Causal,1
EMG/ENG,1
the Axon,1
Gillespie Algorithm,1
Vestibular,1
Electrical Stimulation,1
Microelectrodes,1
Lateral,1
Geniculate Nucleus,1
LGN,1
Spectral Methods,1
Decision Making,1
Parameter Finding,1
Activity,1
Co-regulation,1
Bifurcations,1
Retinotopic Development,1
Neuroimaging Data,1
SBML,1
Tactile Sensing,1
Chaos,1
Wavelet,1
NeuroMorpho.org,1
Spatiotemporal Energy,1
Turtles,1
Sleep Apnea,1
Songbird Models,1
Corticothalamic Feedback,1
Large-Scale Synchrony,1
MEG/EEG,1
Radiopharmaceuticals,1
Molecular Imaging,1
Declarative Programming,1
Neurobiology,1
Multistability Arising,1
Propagator,1
Axonal,1
Electron Microscopy,1
BAMS,1
Optogenetic Approaches,1
Connectionist Models,1
CPG Networks,1
Hippocampal Theta,1
Theta/Gamma Network,1
Movement Disorders,1
Vestibular Prosthesis,1
Morphology Models,1
Multiscale Brain,1
Facilitation,1
Pain Processing,1
Pathway Models,1
Receptive Field,1
Disease,1
Molecular Level,1
Gamma Rhythm,1
Spontaneous Activity,1
Potential Initiation,1
State-Space Models,1
the Analysis,1
Respiratory Pacing,1
Cognition,1
Information Geometry,1
Brain-Scale Networks,1
BioModels Database,1
models,1
biological processes,1
Auditory Precedence,1
Summary,1
Software Tools,1
Retinal/Visual Interfaces,1
Proprioceptor,1
Signaling Pathways,1
Modeling of,1
Spinal Anatomy,1
Physiology Organization,1
Neurovascular Coupling,1
Cortical Microcircuits,1
Metabolism,1
Visual Processing,1
Free Flight,1
Motoneurons,1
Neuromuscular Systems,1
Hippocampal Oscillations,1
PING,1
ING,1
Sparse,1
Synchrony of,1
Synchrony,1
Context-Dependent Processing,1
Quasi-active Approximation,1
Neuropathologies,1
Space Exploration,1
Micro-Wires,1
Calcium-Dependent Exocytosis,1
Saccades,1
Collations,1
Connectivity Data,1
CoCoMac,1
Goldman-Hodgkin-Katz Equations,1
Canal Testing,1
Parkinson 's,1
Touch Location,1
Dynamic Diseases,1
Rall,1
Enzyme Kinetics,1
Model Reduction,1
Brainstem Processing,1
Decision-Making Tasks,1
Stimulus-Specific Adaptation,1
Electrophysiology Analysis,1
Anesthesia,1
Non-uniqueness,1
Action Selection,1
Lambda,1
Flicker-Induced Phosphenes,1
Spike-Timing-Dependent Plasticity,1
Music Processing,1
Experience-Dependent Plasticity,1
Intraneural Electrode,1
Neurodynamics,1
Color Vision,1
Coordinate Transformations,1
Retinal,1
Neurophysiology,1
Optogenetics,1
NEST,1
Extracellular Stimulation,1
SED-ML,1
Delta Rhythms,1
NDVis-Neuro,1
Cerebellum,1
PhysioNet,1
Brain-Machine Interface,1
Electrocorticogram,1
ECoG,1
Sectioning Microscopy,1
Unit Activity,1
JPSTH,1
SenseLab,1
Perceptual-Motor,1
Dissociation,1
Methyl,1
Aspartate,1
NMDA,1
PET/SPECT Imaging,1
Adaptive Reflexes,1
Intrinsic Processes,1
Wiring Principles,1
Surrogate Data,1
Spike Correlation,1
Calcium-Dependent Potassium,1
Stopping Events,1
Single Pulses,1
Postsynaptic Currents,1
Cable Theory,1
Electroencephalography,1
EEG,1
Magnetoencephalography,1
MEG,1
Hierarchical Models,1
High-Voltage-Activated Calcium,1
Seizure Dynamics,1
Subretinal Devices,1
Hyperpolarization-Activated,1
BrainMap,1
Computational Neuroanatomy,1
Perceptual Effects,1
Brain Machine,1
Beta Oscillations,1
Retinal Disease,1
Remodeling,1
Denoising,1
Model Hand-Tuning,1
Ion Concentrations,1
Motor Planning,1
LFP Analysis,1
Braided Electrodes,1
Conductance-Based Models,1
Nonlinear Dynamics,1
Vertebrate Motoneurons,1
Somatosensory System,1
NineML,1
Population Codes,1
Brainstem Motoneurons,1
Auditory Processing,1
Cortical,1
Motor Prosthesis,1
Pulse-Coupled Oscillators,1
Spinal Interfaces,1
Joint Coordination,1
Perception Dynamics,1
Nitric Oxide,1
CellML,1
Correlation Analysis,1
Model Optimization,1
Information-Theoretic Quantities,1
Efficient,1
Population Coding,1
BrainInfo,1
Release,1
Noninvasive,1
Q10,1
The Effect,1
Resistivity/Conductivity,1
Extracellular Medium,1
Bimolecular Reactions,1
Particle-Based,1
Stochastic Simulators,1
Neurogenesis,1
Subthalamopallidal Loop,1
Connectivity Analysis,1
Afferent Signals,1
Cerebellar Learning,1
Input Minimization,1
PSICS,1
GENESIS,1
Lobula Plate,1
Tangential Cells,1
LPTCs,1
Comparative Analysis,1
CPGs,1
Glomerular Microcircuits,1
Neuromorphic Engineering,1
Neuromorphic Hardware,1
Neuropathic Pain,1
Biophysics,1
Theta Oscillations,1
Cortical Columns,1
Stimulus Reconstruction,1
Cortical Responses,1
Information Measures,1
Neural Activity,1
Spinal Stimulation,1
Parkinson Treatment,1
Neuronal Avalanches,1
Potential Backpropagation,1
Electrotonic Length,1
Phase Models,1
Noisy,1
Protein-Coupled Receptors,1
Directed Spectral,1
Potential Interaction,1
Neuromorphic Technologies,1
Memristors,1
Averaging,1
Calcium Release,1
Time-Frequency,1
Sensory Cortices,1
Polarization,1
Brain Imaging,1
Deep Cerebellar,1
Nuclei,1
Nerve Block,1
Sensory Coding,1
Low-Voltage-Activated Calcium,1
Current Source,1
CSD,1
Responses,1
Unitary Event,1
Vestibular Otoliths,1
Neural Field,1
Postural Control,1
Automated Parameter,1
Cortical Devices,1
Compartmental Models,1
Spinal Motoneurons,1
Calcium Buffering,1
Ca 2,1
Steady-State Approximations,1
NeuroML,1
Drug Design,1
Anti-Hebbian,1
Rectifier Potassium,1
Capacitance,1
FieldML,1
Reaction-Diffusion Simulators,1
Accumulation,1
Markov Models,1
Stimulation,1
Metric Space,1
Mass Action,1
Drosophila,1
Fitness Function,1
Bifurcation,1
Population Model,1
Source Localization,1
Cochlear Efferents,1
Imaging Analysis,1
Extracellular Potentials,1
Coexistence,1
Bursting Regimes,1
Centered Database,1
BOLD Signal,1
Visual Hallucinations,1
Migraine Auras,1
Proprioception,1
Imaging,1
Specimen Preparation,1
Motor Pools,1
Mouse,1
Target Selection,1
Response Selection,1
PyNN,1
Calcium Dynamics,1
Neuronal Microdomains,1
Stochastic Simulations,1
the Emergence,1
Orientation Selectivity,1
Topology of,1
Disease States,1
Activity-Dependent Development,1
Tinnitus,1
Ischemia,1
Parametric Spectral,1
A Compartment,1
Integrated,1
Non CPG,1
Topographica,1
Slow Feature,1
Pulse-Resonance,1
Striatal Models,1
Cellular Detail,1
Transfer Function,1
Electrocortical,1
Head Direction,1
Theta,1
Cross-Frequency Coupling,1
the Hippocampus,1
Cx3D,1
Cortex Simulation,1
Gravity Analysis,1
MCell,1
Rhythm Perception,1
NIF,1
Oscillatory Dynamics,1
Meta-analysis,1
Dopaminergic Modulation,1
Biomechanical Model,1
Low,1
Calcium Pumps,1
Neuropercolation,1
Sleep,1
Peripheral Nerves,1
Space Visualization,1
Recurrent,1
GABA-A,1
Population Vector,1
Power Laws,1
Intermittency,1
Paraspinal,1
Magnetic,1
the Restoration,1
Event-related Potentials,1
Fire Models,1
Computational Analysis,1
Neuropharmacological Modelling,1
Alterations,1
Ionic Homeostasis,1
LFP,1
Vestibular System,1
Sensory Restoration,1
Baroreflex,1
Dynamical Systems,1
Nomenclature,1
IUPHAR Scheme,1
Subthreshold Amplitude,1
Phase,1
Resonance,1
Single Cells,1
Reservoir Computing,1
Excitability,1
III,1
Pre-Botzinger,1
Organization,1
Ionotropic Receptors,1
Cortical Function,1
Normative Models,1
Serotonergic Modulation,1
Cochlea,1
Endocrine Cell,1
Network Structure,1
Field Potentials,1
Algorithmic Reconstruction,1
Motoneuron Morphology,1
Weak Coupling,1
Neurofitter,1
Suprachoroidal,1
Trans-retinal Devices,1
Calmodulin,1
Coupled Oscillations,1
Neural Control,1
Connectome Project,1
Low-Frequency Oscillations,1
Neuronal Branching,1
Retinal Prostheses,1
Restoration,1
Sight,1
Neuropharmacological Modeling,1
neuroConstruct,1
Sensory Input,1
Stochastic Resonance,1
Balance Control,1
Insect Olfaction,1
Independent Component,1
Tripartite Synapse,1
Neuron-Astrocyte Interactions,1
Epineural Electrode,1
Phase Resetting,1
Infinitessimal,1
Oculomotor Control,1
Neural Retina,1
Spectro-Temporal,1
Receptive Fields,1
Somatosensory Neurons,1
Spike Timing,1
ModelDB,1
Mechanotransduction,1
STEPS,1
STochastic Engine,1
Pathway Simulation,1
Model Reproducibility,1
Cortex,1
Vestibular Function,1
Cochlear Implantation,1
Multi-scale Modeling,1
Purkinje Cells,1
Computational Role,1
Product Portfolios,1
Policy-Based,1
Description Languages,1
Triptych,1
Stories,1
AST,1
Tracing,1
Specification-Based,1
Communication Software,1
Domain Modeling,1
State-Based Elicitation,1
Functional Programming,1
SLAs,1
Engineer,1
Self-Managing,1
Fault-Based,1
Audits,1
Management Reviews,1
Virtual Teams,1
Software Fault,1
Profile Testing,1
Teams,1
Reverse,1
Smart Machines,1
Visual Development,1
Formal Requirements,1
Ethnography,1
Source Software,1
Interaction Detection,1
Viewpoints,1
Subdomain,1
Partition,1
Reconfigurable,1
Programming Phase,1
DPP,1
Technique Selection,1
Fault,1
SCM,1
Pair,1
Proof-Based Certification,1
Project Control,1
Value Management,1
Mutation,1
Autonomic Systems,1
Success Factors,1
Real-Time Services,1
Intranets,1
Priorities,1
Key Components,1
Stack-Based,1
Nomadic Users,1
Trapping Intruders,1
FTP,1
Heterogeneous Networks,1
Delivery Platforms,1
Clustering Techniques,1
CBK,1
Datamarts and,1
Datamarts,1
Internet Security,1
OFDM-Based Systems,1
Modem Architectures,1
Spectral Efficiency,1
Distributed Environment,1
Security Screening,1
URLs,1
Obscuring,1
Broadband Internet,1
Smartcards,1
VoIP Service,1
NERC Corporation,1
Halon Fire,1
Suppression Systems,1
RADIUS,1
SIEM,1
Security Test,1
Mobile Terminals,1
Recommendation Services,1
Cross-Site Scripting,1
Facilities,1
Security Models,1
Exercises,1
Cross-Layered Approach,1
Care,1
Performance Issues,1
Security Risk,1
Goals Assessment,1
Goals,1
Strategy Selection,1
Architectural Design,1
Data Communications,1
Dial-In Hazards,1
Security Policies,1
Video Communications,1
e-Discovery,1
Registration,1
Manet,1
OFDM,1
Legal Proceedings,1
Voice-over-Internet,1
Fuzzy Models,1
Gsm,1
P2P,1
Overlay Multicast,1
Gprs,1
Locating Position,1
Mobile Stations,1
Department-Level,1
Appendices,1
Management Commitment,1
Applications Controls,1
Espionage,1
Counter-Economic,1
Assessment Tasks,1
Policy Development,1
Needs,1
Investigations,1
Biological Cells,1
Pod-Slurping,1
Other Vulnerabilities,1
Layer Security,1
Bluetooth Systems,1
MSSPs,1
Cyber-Risk Management,1
Enterprise-Level Security,1
Applets,1
Employee Identification,1
Location-Based Services,1
Data Access,1
Sensitive,1
Critical,1
Self-Hacking,1
Personal Accountability,1
Insider Threats,1
Application Weaknesses,1
Melding,1
Channel Characterization,1
Motivational,1
Psychological Factors,1
Selecting Countermeasures,1
Telemetering,1
Xml,1
Web-Based,1
Effective Practices,1
Power Optimized,1
Network Computing,1
VNC,1
Potential Techniques,1
Phased-Array Antennas,1
Roaming Techniques,1
IPv6,1
Privacy Governance,1
Telephony Systems,1
Security Readiness,1
Mission-Critical Facilities,1
Non-Liturgical Examinations,1
Notification,1
1G,1
World,1
Wide Web,1
Ontology-Based Approach,1
Mergers,1
Encryption and,1
PANs,1
Prioritization,1
Systems Management,1
Third-Party Applications,1
Media Streaming,1
Transmission Strategies,1
P2P Networks,1
Crime Prevention,1
Environmental Design,1
Layered Defense,1
Location-Aware Routing,1
Council,1
Europe,1
Leverage,1
Theft,1
Intermittent Connectivity,1
Honeypots,1
Honeynets,1
Object-Based Applications,1
Chaotic-Based,1
Communication Systems,1
User Data,1
Business Partnerships,1
Electronic Commerce,1
Bluesnarfing,1
Grid Environment,1
Risk Diagnosis,1
Treatment,1
Organized Crime,1
Deep Packets,1
Briefing,1
Sensor Clusters,1
Reengineering,1
Social Engineering,1
Codecs,1
SOA,1
Corporate Organization,1
Digital Investigations,1
Enclaves,1
Other Issues,1
Multihop Cellular,1
Processing Concepts,1
Security-Relevant Issues,1
Multiantenna Technology,1
Security Assessments,1
Recommendations,1
Redundant Arrays,1
Independent Disks,1
RAID,1
Maintenance Processes,1
Rerouting Schemes,1
New Methods,1
PKI-Based,1
RF Systems,1
IMS,1
Purpose,1
the Future,1
Mobile Games,1
Multiplayer,1
Security Breaches,1
Business Impact,1
Configuration Management,1
Stages,1
Security Controls,1
Dial-Up,1
Sploits,1
Site Selection,1
Facility Design,1
Central Node,1
Threat,1
September,1
Power Control,1
Handovers,1
5W,1
DoD,1
DIACAP,1
Information Warfare,1
Tactics,1
Return,1
Investment,1
ROI,1
Fast-Scanning Worms,1
Managing,1
Mobile Health,1
Ex-Criminal,1
Host-Based Firewalls,1
User Mobility,1
Spatial Diversity,1
Composite Applications,1
Allocation,1
Optical,1
Cognitive Radio,1
Spatial Presence,1
Ongoing Development,1
Channel Assignment,1
Power-Conservative Designs,1
Pod Slurping,1
Policy Formation,1
Intrusion Analysis,1
Definitions,1
Service Attacks,1
CT-2,1
Multicasting,1
Adaptable,1
Protocol Framework,1
Self-Organization,1
Program Elements,1
Body Area,1
Security Teams,1
Vulnerabilities,1
Multicarrier Transceivers,1
Transitions,1
Reliable Wireless,1
Quasi-Intelligence,1
Middleware Security,1
Tape Backups,1
Penetration Testing,1
Legal Requirements,1
Prosecution,1
LTE,1
Worldwide Interoperability,1
Microwave Access,1
WiMax,1
Management Support,1
Survey,1
MIMO,1
Quantum,1
Abuse,1
Portable Computing,1
Collaborative Approach,1
Contextual Reasoning,1
Secure Relationships,1
Sign-On,1
Packet Access,1
High-Speed Downlink,1
Human Resources,1
Internetworking,1
Centralized,1
Authentication Services,1
Management Compliance,1
Confidential Information,1
ISSEP,1
Multiple Access,1
Multi-Device Presentations,1
Ambient-Audio Identification,1
Power Assignment,1
Spectrum,1
2G,1
Content-Enriched Communication,1
Interactive TV,1
Abuses,1
Near-Instantaneously Adaptive,1
High-Tech Trade,1
Secrets,1
Data Retrieval,1
Caching,1
Network Mobility,1
Telecommunications,1
Media,1
Data Sanitization,1
SQL Injection,1
Handoff Prioritization,1
Early Blocking,1
Evidence Handling,1
CDMA Networks,1
Security Roles,1
Protocol Communications,1
Maturity Model,1
E-Business,1
Vehicular,1
International Issues,1
Mobile Security,1
Umts,1
Corporate Security,1
IT Organization,1
Healthcare Industry,1
Critical Business,1
Next-Generation Security,1
Channel Coding,1
Selfish Behavior,1
Packet Forwarding,1
Criminal Investigations,1
Smart Space,1
Deception Detection,1
Conceptual Tools,1
Terrorism Information,1
Multilevel DCT,1
Reversible Data,1
Photographic Provenance,1
Expert Testimony,1
Privacy Enhancing,1
Acquisition,1
Forensic Investigation,1
Face Modelling,1
Biometrical Processing,1
Forensic Implications,1
Virtualization Technologies,1
Digital Crime,1
Management Metadata,1
Anonymous,1
Security Dilemmas,1
Canada 's,1
Managed Services,1
Workplace Ethics,1
Payment System,1
Investigation Strategy,1
Objective Ethics,1
Managing InformationTechnology,1
M-Commerce,1
Electronic Signatures,1
Parental Rights,1
Internet Usage,1
Meta,1
Articles,1
Cyber Terrorists,1
Educational Technology,1
Practitioner-Research Ethics,1
a Code,1
Cyberethics,1
a Municipality,1
Networkable Devices,1
Ethical Behaviour,1
Technology-Mediated Communication,1
Computer Worms,1
Dilemmas,1
Ethical Approach,1
Document Security,1
Moral Rights,1
Suicide,1
Interviews,1
Young People,1
Sustainable Information,1
Society,1
Universal Internet,1
Ethical Erosion,1
Enron,1
DRM Practices,1
Internet Pornography,1
Ethical Usability,1
Children,1
Representing,1
Processing Narratives,1
Pharming Attack,1
Internet Research,1
Security Model,1
Port,1
Cyber-Terrorism,1
Australia,1
Security Protection,1
Critical Infrastructure,1
Rule-Based Policies,1
Avatars,1
Conflicting Value,1
Ethical Reasoning,1
Professionals,1
Students,1
