phrase,wiki_score
free text,0.65
x.,0.1
that,0.0
asymmetric,0.3
semiconductor manufacturing,0.2
duality bounds,0.45
chosen plaintext,0.7
accelerator chips,0.8
semantics,0.5
professionals,0.0
gpgpu,0.9
xor-obdds,0.05
a formalism,0.0
virtual worlds,0.55
browser,0.95
cryptanalysts ',0.5
chlorophyll,0.0
youtube.com,0.05
correction,0.1
slas,0.1
deep belief networks,0.85
pervasive computing,0.6
ntruencrypt,0.65
multi-levels,0.25
iso/iec,0.4
multistability,0.1
certain graph-accessability-problems,0.8
idealization,0.0
online,0.5
the data,0.55
specification-based,0.75
computational number,0.85
unsupervised discovery,0.65
statistical data,0.15
user behavior,0.85
mammograms,0.2
algebraic,0.05
wire,0.1
cryptographic transitions,0.9
design problems,0.4
rerouting schemes,0.0
unbiased estimators,0.1
implications,0.2
stream mining,0.3
replications,0.1
parametric estimation,0.3
input images,0.9
neuromorphic technologies,0.5
the cerebellum,0.0
mrc,0.1
german,0.0
agricultural research,0.0
spyware,1.0
notations,0.1
membership models,0.3
their x-rays,0.0
paradoxes,0.1
thermal design,0.0
texture,0.4
phrase structure,0.4
synthetic neuron,0.1
queueing system,0.3
devs formalism,0.55
the use,0.2
risk analysis,0.3
generalized coloring,0.75
wmans,0.0
security controls,0.85
ad-hoc,0.4
bifurcation,0.1
thermal,0.0
c++,0.4
dickey-fuller,0.05
nearest neighbors,0.7
digital circuits,0.25
deconvolution,0.6
problem domains,0.7
non-uniqueness,0.2
bmap 's,0.1
k-anonymity,0.5
sport,0.0
subthalamopallidal loop,0.0
functionals,0.1
im 's,0.15
weil descent,0.1
mlp training,0.55
curvelet,0.8
procedural texturing,0.95
stages,0.0
glutamate receptor,0.0
the discretization,0.2
embedding,0.6
superpopulation models,0.0
hecdlp,0.0
optimal control,0.5
the reconstruction,0.15
knowledge bases,0.85
overview,0.0
their application,0.6
performance analysis,0.6
new source nodes,0.75
learning,0.3
fuzzy similarity,0.65
domain-specific knowledge,0.45
dyslexia,0.0
odes,0.0
orientierter inkrementeller,0.0
16-nm finfet,0.2
location-dependent database,0.35
sequence learning,0.55
collocation,0.6
box-jenkins,0.05
covert channels,0.75
gait,0.2
vlsi circuits,0.4
bionics,0.4
chromatic polynomials,0.9
conditional expectation,0.2
einer logischen,0.0
psychological research,0.0
neural coding,0.5
vagueness,0.1
obscuring,0.1
the quantification,0.4
a grid,0.15
bpmn,0.8
corresponding outputs,0.75
trick,0.0
eic,0.0
cross domain object,0.85
regularisierte strafmethoden,0.0
embedded cores,0.75
the zeros,0.1
language security,0.6
oligopoly,0.1
soil,0.0
optimal shrinkage,0.3
mimo-ofdm,0.4
r-trees,0.8
trajectory models,0.3
management science,0.0
bias,0.1
a network,0.3
floorplanning,0.4
recurrent network models,1.0
media,0.2
built-in predicates,0.85
traditional algorithms,0.7
institutional repository,0.3
streams,0.3
document,0.4
survey methods,0.05
unbounded memory,0.75
closest,0.3
attributive concept,0.15
availability constraints,0.55
model predictions,0.5
crowdsourced data,0.55
inverse resolution,0.2
intuitionism,0.1
control systems,0.35
recognition techniques,0.95
ccs,0.0
cyberpsychology,0.4
chemotaxis,0.0
bayesian classifier,0.6
extensible,0.8
fosls,0.0
habit formation,0.1
monoids,0.3
heaps,0.3
transshipment,0.1
attribute values,0.8
choreography,0.1
nonlinear pca models,0.8
leftist,0.05
correspondences,0.0
fundamental concepts,0.15
speed,0.0
tardy jobs,0.35
design ethnography,0.1
optic flow,0.1
some number,0.15
bayesian statistics,0.15
partition labels,0.6
logic expressions,0.6
improvement,0.1
treatment,0.0
mittels,0.0
aerodynamic,0.05
evolutionary robotics,0.75
brain-computer interfaces,0.75
sequence-dependent setups,0.6
matroids,1.0
pso,0.3
rules,0.0
involutions,0.1
minkowski 's,0.05
repetitions,0.2
bayesian inference,0.2
numerical features,0.7
learning problems,0.55
finite field,0.2
feature preprocessors,0.7
network based,0.55
nigeria,0.0
topology of,0.15
temporal control,0.15
multiplicative,0.2
statistical inference,0.05
optimisation,0.65
geometric applications,0.5
misclassification,0.1
hyperspectral,0.2
zigbee,0.6
runtime systems,0.9
a rejoinder,0.0
information retrieval,0.55
case-control studies,0.05
questionnaire,0.0
auto encoding,0.7
public interest,0.05
manipulator,0.5
h. 263,0.1
h. 264,0.5
multilayer perceptrons,0.9
inductance effects,0.0
multimedia workload,0.5
a pre-dual,0.35
assembly,0.05
business,0.05
quasi-identifier,0.25
public terminals,0.1
self-calibration,0.5
tdd,0.2
nmf,0.3
botnet detection,0.9
ontology,0.55
sentence simplification,0.55
comparison,0.3
the military,0.0
advanced hands,0.15
srm,0.2
ideology,0.0
policy gradient,0.7
evaluation strategy,0.35
input devices,0.5
runoff behaviour,0.05
edge devices,0.5
multihop,0.4
shipbuilding,0.0
stabilisation,0.0
extend machine,0.65
shrinking,0.0
your,0.0
logics,0.4
editor-in-chief,0.0
lod,0.2
area,0.0
mos transistors,0.4
group knowledge,0.2
voice-over-internet,0.25
multivariate reduced-rank,0.2
pod slurping,0.2
residual life,0.0
explosions,0.0
concurrent specifications,0.85
breast cancer,0.0
fsms,0.3
interestingness measures,0.2
blood vessels,0.05
closed-circuit television,0.15
multitasking,0.7
pdes,0.0
wholes,0.05
emergent networks,0.6
fraud,0.05
data warehouses,0.3
a graph,0.7
large graphs,0.8
postures,0.1
single-server queues,0.3
scanner,0.35
formal analysis,0.65
information warfare,0.0
layer transformations,0.55
ereignisse,0.1
countermeasures,0.0
reliability,0.4
basic properties,0.0
super-hedging prices,0.05
hospitals,0.0
effective practices,0.2
valuations,0.0
causaleffects,0.0
credibility,0.15
pathway models,0.1
mathematica,0.3
storage,0.45
approximation schemes,0.75
fst,0.1
you,0.1
3-d,0.6
d2d,0.2
performance issues,0.35
packet access,0.3
b2c e-commerce,0.2
object signature,0.6
the relational,0.35
building,0.0
parallel programming,1.0
stochastic gradient descent,0.9
deep packets,0.85
type-1,0.1
type-2,0.1
strings,0.05
maturity,0.15
sigcse,0.9
individual impacts,0.05
human-computer interaction,0.9
codification,0.0
datamarts,0.0
wireless computing,0.55
asymptotic expansions,0.1
higher order,0.55
continuum theory,0.1
batches,0.4
semantic webs,0.8
emg/eng,0.15
model theoretic,0.2
finite limits,0.25
equivalence,0.1
network monitors,0.6
safety,0.15
neumann correction,0.6
brain machine,0.45
passivity,0.0
current cad,0.75
vers,0.0
mpc,0.2
cortical networks,0.3
internet pornography,0.05
a meta-analysis,0.0
face modelling,0.15
the concurrency,0.7
cocomac,0.1
generalised,0.0
images using,0.7
paillier encryption,0.6
isms,0.05
vehicular networks,0.2
mapreduce,0.9
virtual environment,0.8
eccc,0.05
-1,0.0
-3,0.0
-2,0.0
inversions,0.1
parallelizable message,0.8
graph approximation,0.75
instagram,0.4
conceptual design,0.25
version 2.0,0.55
statistical machine translations,0.9
ion channels,0.05
bilinear,0.1
approximability,0.7
mit protos-l,0.05
array architectures,0.95
data sparsity,0.75
nand,0.55
structuralism,0.0
source language,0.5
typical implementation,0.55
auctions,0.05
logspace,0.85
business processes,0.1
dynamic causal,0.2
symmetric functions,0.25
intranet,0.6
cortical function,0.0
strong,0.0
revisited,0.05
success factors,0.05
conflation,0.1
other methods,0.2
advertising,0.05
innovativeness,0.2
permutation,0.1
successors,0.1
mineral processing,0.0
multi class classification,0.8
wearables,0.5
word-of-mouth,0.1
tableau-basierten theorem-beweiser,0.0
femtocells,0.2
latent feature,0.75
computational neuroanatomy,0.25
toys,0.1
translation systems,0.65
human capital,0.0
conventional,0.05
flaws,0.1
discriminative,0.6
image classifiers,0.8
mixed reality,0.8
image translation,0.55
energy minimization,0.45
video communication,0.2
cross-layered approach,0.45
disjoint latent,0.75
authorization,0.25
word models,0.65
identity verification,0.4
euler 's,0.2
descriptors,0.4
non-repudiation,0.8
imeda,0.0
co-location,0.3
the universality,0.1
multiscale brain,0.4
organization,0.0
tacacs,0.75
consortia,0.1
online courses,0.2
history,0.0
network increases,0.5
thresholding,0.6
radiotherapy,0.0
e-privacy,0.75
f.,0.0
programming phase,0.55
problem instances,0.85
the torus,0.1
re-engineering,0.3
mcdm,0.4
least common,0.35
unifikation und,0.1
neurofitter,0.0
branch-and-price,0.3
step size,0.65
mangroves,0.0
confirmer signatures,0.35
shannon 's,0.4
multi-threaded implementation,0.9
1 queues,0.3
extract edges,0.7
delivery platforms,0.3
justified causation,0.0
the dynamics,0.2
orgswarm,0.0
fg,0.0
simultaneous pseudo-timestepping,0.0
payment system,0.15
virtual world,0.55
higher residues,0.05
frictions,0.1
algorithmic reconstruction,0.75
co-creation,0.0
quadrotors,0.1
orientations,0.1
metacommunication,0.1
floating point,0.85
taxonomy,0.05
fft,0.9
charities,0.0
rollback-dependency trackability,0.65
wiener,0.2
committee,0.05
urdu,0.0
reminiscences,0.0
discovery rate,0.2
systeme,0.0
systemc,0.5
video transmission,0.15
lateral,0.0
automated cryptanalysis,0.7
neural computation,0.8
model hand-tuning,0.05
kurzfassung,0.0
systems,0.2
exploratory data,0.3
deformation,0.0
computational efficiency,0.9
massive multiplayer,0.8
the impact,0.1
ye,0.0
object recognition,0.65
aphasia,0.0
soundness,0.2
trustworthiness,0.4
graph games,0.6
rank data,0.45
inverse reinforcement learning,0.95
model reduction,0.3
capability,0.25
bits required,0.8
bayesian reliability,0.3
nonconvex problems,0.75
mobile faults,0.25
intraneural electrode,0.05
drawing algorithms,0.95
quantum,0.35
event,0.1
fault-tolerant cryptography,0.9
floorplan representations,0.15
future trend,0.15
molecular level,0.15
network design,0.55
iot,0.9
ast,0.35
puf,0.2
ciphers,0.6
strategy-proofness,0.3
coxml,0.0
reason,0.1
base,0.0
asd,0.0
bidirectional,0.5
correctness proof,0.5
lstm units,0.95
script,0.05
memory units,0.75
mobile devices,0.75
meditative states,0.0
personal accountability,0.1
interviews,0.0
architectures,0.85
miso,0.2
gaming architectures,0.5
probability,0.1
december 1998,0.0
personalised displays,0.2
syntaktische merkmale,0.0
solvers,0.4
clustering algorithms,0.55
tree based,0.65
the analysis,0.3
time-memory,0.45
bijections,0.1
scheme,0.1
microaggregation,0.0
feature terms,0.3
ranking functions,0.25
pattern management,0.55
honeynets,0.75
microblogs,0.4
classifiers,0.4
context awareness,0.4
dtn,0.2
dtm,0.0
totalweighted tardiness,0.0
stm,0.3
differential ratio,0.2
autoencoders,1.0
iso-9796,0.1
spellchecker,0.5
the rationality,0.0
gpr,0.2
seamless service,0.15
virtual communities,0.4
electroencephalography,0.3
computer mediated,0.45
ndvi,0.0
biclusters,0.5
hci applications,0.6
constructions,0.1
software package,0.95
correlation coefficient,0.15
other issues,0.2
yacute,0.1
network training,0.65
aliasing,0.9
privacy-aware,0.9
protocol cookies,0.8
random permutations,0.55
position,0.0
low-frequency oscillations,0.15
opportunistic relaying,0.8
artefacts,0.1
spanners,0.1
mobile,0.25
biomodels database,0.3
many cheminformatics software,0.7
acceptance speech,0.0
physics,0.0
postproduction,0.0
hybrid systems,0.3
chebyshev,0.4
3d animation,0.7
v13,0.25
grid computing,0.9
pervasive application,0.8
internet security,0.85
the ubiquity,0.3
exchangeability,0.05
underdetermination,0.0
information represented,0.55
phase models,0.25
neural activity,0.35
the reviewing,0.15
precision assembly,0.25
the axon,0.05
darwin,0.05
knowledge creation,0.05
the h-index,0.3
connections,0.1
gebietskonstituierende prozesse,0.0
calcium-dependent exocytosis,0.0
language inference,0.65
tourism statistics,0.0
sound localization,0.4
text modeling,0.65
querying,0.7
the blogosphere,0.4
ubiquitous computing,0.85
endomorphisms,0.2
selection techniques,0.25
erfahrungen,0.0
recommendations,0.05
nonlinear equations,0.2
spatial logics,0.5
integrity verification,0.55
omnibus test,0.0
descriptions,0.15
mediators,0.0
accelerators,0.3
constellation,0.0
function computation,0.85
sparse prediction,0.7
plasticity,0.0
ethical concerns,0.1
a framework,0.5
lstm networks,1.0
e-democracy,0.0
saccades,0.0
3d-hevc,0.4
association measures,0.0
interface agents,0.7
stagnation,0.0
neighbor designation,0.0
the queue-length-distributions,0.2
numerical solution,0.6
ofdm-based systems,0.2
scalability,0.25
wavelet methods,0.65
spatiotemporal energy,0.15
digit recognition,0.7
bivariate,0.1
self-organizing maps,0.75
phishing,0.5
statistical pattern,0.4
sensitive,0.15
trinomials,0.3
biopharmaceutical research,0.0
eine logikprogrammiersprache,0.0
prng,0.8
innovating,0.2
information gain,0.65
component-based,0.6
dfig,0.1
large-scale,0.3
pattern clustering,0.55
proton,0.1
subgraphs,0.8
computational materials,0.55
adaptive hypermedia,0.75
quantile,0.0
geometric graph,0.7
c/c,0.1
generating function,0.1
asymptotics,0.2
maintenance,0.3
seamless connectivity,0.3
colorings,0.3
beispiel,0.1
modular partitioning,0.3
compositeness,0.1
generating,0.0
persistente datenspeicherung,0.0
handoff,0.2
finite-time,0.5
sparse networks,0.75
oracle machines,0.9
covariance,0.1
modelling,0.05
neural/fuzzy computing,0.9
determination,0.1
coalitions,0.0
fuzzy logic,0.7
game interface,0.85
radio frequency,0.1
graph drawing,0.9
geometric modeling,0.65
internet research,0.45
guide,0.0
prolog,0.7
bidirectional lstm,0.65
measuring roi,0.15
inverters,0.3
recursive greedy,0.85
unsupervised domain,0.9
psychological frameworks,0.05
formulae,0.05
aeronautical telemetry,0.1
measurement models,0.2
total survey,0.0
global minimization,0.6
automated negotiations,0.45
service robots,0.8
the convexity,0.3
technological considerations,0.05
grant,0.05
feature algebras,0.15
sensor clusters,0.2
block cipher,0.55
computational sense,0.75
modification,0.1
composition,0.05
interpolation,0.7
stream processing,0.65
social virtual,0.75
maintenance systems,0.35
metaheuristic,0.8
user,0.75
third-order,0.0
dissimilarity,0.3
eigenvectors,0.5
information systems,0.45
database,0.65
negotiable instruments,0.0
auvs,0.0
behavioural analysis,0.25
consistency,0.5
exponentials,0.0
gsm,0.05
language objects,0.65
overflows,0.45
informationen/meinungen,0.0
population projections,0.0
advanced techniques,0.35
maximal-length,0.35
automatic control,0.0
process-algebraic analysis,0.2
taiwan,0.0
economic statistics,0.0
lexika '',0.0
pathway simulation,0.4
anova,0.1
motor planning,0.05
transformation,0.1
treewidth,1.0
wireless technologies,0.3
response selection,0.0
experimental design,0.1
cardinalities,0.1
commonsense reasoning,0.7
network classifiers,1.0
line kernel,0.75
source images,0.6
finite populations,0.1
ahs competition/sha,0.0
eeg,0.3
terminology,0.05
universal internet,0.15
variational inequalities,0.6
cones,0.0
mimo radars,0.3
creation,0.15
normal scores,0.0
trends,0.15
event-related potentials,0.2
peer-to-peer networks,0.45
minimax,0.4
morphology models,0.25
discovery handbook,0.15
the trade-off,0.1
cross-docking,0.0
web services,0.6
lions ',0.0
training labels,0.55
encryption standard,0.6
minimal,0.05
contextual reasoning,0.4
information commons,0.2
run,0.1
coregistration,0.2
polyhedral maps,0.35
processing,0.4
analysis models,0.35
a typology,0.0
pomdps,0.9
viewpoints,0.15
multi-label data,0.75
the newsstand,0.3
phase resetting,0.15
gmac,0.05
predictability,0.2
working,0.0
some bounds,0.25
decode-and-forward relaying,0.3
anaphora resolution,0.5
bgp,0.5
bluetooth networks,0.35
stream cipher,0.75
helly-type theorems,0.25
einem auskunftssystem,0.0
block,0.1
latent codes,0.5
0/1 constraint,0.7
tool environments,0.7
sectioning microscopy,0.05
spatial skills,0.15
computational systems,0.85
network theory,0.65
congruential generator,0.9
statistics,0.05
piezoelectric actuators,0.0
turing machines,0.95
accountability,0.05
pf-queueing networks,0.6
.0,0.1
metric space,0.05
epineural electrode,0.0
statistics in,0.0
delaunay triangulations,0.8
0-1,0.3
pert,0.2
exponentiality,0.0
game,0.25
segregation,0.05
injection,0.15
pwm,0.2
quasiconvex-concave programs,0.2
basic methodologies,0.15
fdd,0.1
circuits,0.05
modular testing,0.35
middleware,0.7
foresight,0.0
und kommunikationssystemen,0.0
m-government,0.0
acceleration techniques,0.25
heterogeneous,0.15
nonconvex,0.1
microarrays,0.05
mapping codes,0.55
non-programmers,0.8
procedural audio,0.35
misspecification,0.1
accessibility,0.6
face numbers,0.2
the hippocampus,0.0
analog-to-digital,0.35
unitary event,0.05
parametric spectral,0.2
4-cycles,0.1
simpson 's,0.05
code development,0.85
rewriting,0.5
application,0.6
e-marketplaces,0.1
transport,0.05
divisible statistics,0.15
load-balancing,0.6
vector machines,0.95
communication architectures,0.5
arithmetic,0.4
semantic association,0.3
excitation,0.0
peirce 's,0.0
cochlear implantation,0.0
motoneuron morphology,0.0
networks models,0.8
regulations,0.0
time password,0.95
training instances,0.5
husserl 's,0.0
linearization,0.2
structure,0.2
dynamic simulation,0.6
svm,0.7
svd,0.1
wellbeing,0.0
information assurance,0.65
depth,0.25
management support,0.65
mobile services,0.15
svr,0.1
new generation,0.0
iuphar scheme,0.0
zur berechnung,0.0
ga,0.05
spatial point,0.1
ethical dilemmas,0.0
permanent-magnet,0.0
classification tasks,0.45
aria,0.05
neural nets,0.95
algorithmic aspects,0.85
antispam,0.85
65-nm cmos,0.2
pdas,0.4
neuroml,0.1
neural network layers,1.0
the semantics,0.5
cdh,0.05
end,0.15
tradeoffs,0.8
facebook,0.7
art reinforcement,0.45
cellular,0.15
the embedding,0.5
g.,0.0
modulator,0.0
natural language inference,0.75
input space,0.7
reduce dimensionality,0.75
olap,0.6
geospatial,0.3
clone defense,0.25
configurations,0.15
external tangents,0.0
interaktion von,0.05
scheduling problems,0.85
zf,0.0
jump,0.15
multimedia retrieval,0.7
dcm,0.1
image pixel,0.9
triangular meshes,1.0
types of,0.0
olfactory interfaces,0.2
economic aspects,0.0
executing machine,0.95
tron architecture,0.35
cell,0.05
referees,0.0
flexible hybrid,0.1
optimal mutation learning,0.7
psychological game,0.55
systems management,0.5
z.,0.1
user inputs,0.8
isam ,
inclusive well-being,0.1
the projection,0.3
radicals,0.0
causality,0.0
discrete-time,0.6
dissemination service,0.0
content-based publish-subscribe,0.65
industrial practice,0.05
stable methods,0.65
a scheme,0.05
postprocessing,0.5
antecedents,0.0
self-similarity,0.4
logic programs,0.65
wie,0.05
security-relevant issues,0.4
network layers,0.75
boolean,0.35
decentralized systems,0.7
map word,0.7
folksonomy,0.5
cloud,0.25
social media,0.9
efficient inference,0.65
metaphor,0.1
blockchain,0.4
imaging analysis,0.5
geometric methods,0.25
noisy,0.15
tcam,0.4
ecog,0.2
stem,0.1
1/2,0.2
class label,0.55
neural field,0.65
acquisitions,0.0
sensory input,0.05
performance prediction,0.45
system r.,0.15
alos palsar,0.0
isat,0.2
isar,0.0
project management,0.15
the influence,0.0
game trolls,0.2
a case,0.1
localization part,0.6
word embedding,0.85
sicherheit,0.1
md4-md5,0.3
averages,0.05
control,0.15
neuroimaging data,0.15
parallel computing,1.0
prentice-hall,0.6
an example,0.2
proxy,0.5
nineml,0.05
ca 2,0.0
ic card,0.25
sum-rate maximization,0.6
genomes,0.0
integrators,0.6
service-oriented,0.4
re-use,0.1
auditory processing,0.15
self-healing,0.0
emerging memory,0.3
dopamine withdrawal,0.0
simulink,0.6
training software,0.7
trees,0.2
networks anns,0.75
paas,0.1
eaccessibility,0.15
many applications,0.7
computations,0.9
protocol compiler,0.7
secure web,0.95
wittgenstein,0.0
object-oriented,0.9
indo-china languages,0.0
encyclopedia,0.05
alienation,0.05
healthcare,0.0
computational analysis,0.9
microservices,1.0
cellular detail,0.15
petri nets,0.9
materiality,0.0
forensic investigation,0.1
bipolar amplifier,0.05
swarm robotics,0.75
processing concepts,0.45
histogram equalization,0.7
hypergraph,0.5
immune,0.0
two-tier,0.1
ring networks,0.45
cloud infrastructures,0.8
stein 's,0.0
computing accreditation,0.25
relational dependencies,0.85
imbalance,0.0
perceptual effects,0.25
general linear,0.25
articulation,0.0
computational lithography,0.45
the application,0.5
semantic segmentation,0.85
ofdma,0.1
datasets including,0.6
cluster-based,0.5
a method,0.2
evaluation criteria,0.5
slide,0.2
augmented reality,0.75
mode,0.2
bioequivalence,0.0
management compliance,0.3
algebraic statistics,0.1
combinators,0.8
bluetooth,0.25
neural sequence,0.8
neuropathic pain,0.0
motion sickness,0.15
measure,0.1
malicious code,0.95
several benchmark datasets,0.75
parallel computers,0.85
entertainment,0.1
openflow,0.6
networks compression,0.7
scientific computing,0.75
the coexistence,0.1
the rareness,0.1
ecg,0.1
ecc,0.3
high-performance,0.1
ecm,0.2
activity,0.05
expert-system,0.8
integrated circuit,0.15
multivariate analysis,0.15
subalgebras,0.1
mengenkonzepte,0.0
planning agent,0.4
query tables,0.7
maa,0.0
block-lda,0.25
a decade,0.0
geometry,0.3
route,0.1
mac,0.2
derivations,0.0
telemetering,0.1
proprioception,0.05
praxis,0.1
pairing,0.2
viscosity,0.0
amdahl 's,0.9
mmorpgs,0.65
dopaminergic modulation,0.1
randomized,0.45
m-learning,0.2
2-d,0.2
chatbots,0.8
decision making,0.1
management,0.25
privacy,0.8
basic theory,0.15
forgery,0.3
attack,0.15
intelligence,0.1
security protection,0.25
a testbed,0.2
biological interaction,0.0
improve recognition,0.7
anonymous web,0.65
commutativity,0.0
rsa,0.5
time-delays,0.4
manipulation,0.1
autonomic computing,0.65
model databases,0.7
rss,0.25
ad-hoc networks,0.45
its application,0.4
characterizations,0.2
food industry,0.0
knowledge discovery,0.45
document security,0.45
network topologies,0.75
spike-timing-dependent plasticity,0.3
service composition,0.15
complexity theory,0.95
inspection technologies,0.25
gradient updates,0.85
drm practices,0.65
the box,0.15
tabu,0.1
database support,0.65
metaphysics,0.0
conditional entropy,0.8
instrumentation,0.1
estimation problems,0.4
mappings,0.3
perceptual-motor,0.1
actuators,0.1
subdivisions,0.0
radarsat-2,0.0
grounding,0.0
sufficiency,0.0
detector,0.1
learning mixture-of-experts,0.7
relational dbms,0.7
standards activities,0.1
axiomatic,0.2
knowledge synthesis,0.15
lagrange multipliers,0.4
zusammenfassung,0.1
syntactic processing,0.2
software engineering,0.85
calcium-dependent potassium,0.0
proceedings,0.05
gesture,0.05
databases,0.55
hpc workloads,0.85
spatiotemporal,0.3
downlink,0.1
assistive technology,0.3
built-in self-test,0.3
papers/participation,0.2
well-being,0.0
eine frei,0.0
optimal obdd,0.15
mobile commerce,0.2
crossingfree configurations,0.0
human behavior,0.05
network mobility,0.15
pattern classifiers,0.8
speaker verification,0.65
receptors,0.0
bases,0.0
der film,0.0
epilepsy,0.0
semantic parsing,0.85
spreadsheets,0.65
innovative technology,0.05
triangulationsof polytopes,0.0
entity,0.3
feedforward networks,0.95
dematel,0.0
transistor circuits,0.4
evolution,0.05
vikor,0.1
dpp,0.0
expansions,0.2
folksonomies,0.3
sha,0.35
bluetooth systems,0.45
residuosity problem,0.5
edf scheduling,0.1
movie-making,0.05
the five,0.0
biological processes,0.05
halving,0.15
humans,0.0
microgrid,0.0
finiteness,0.3
computer,0.75
b-splines,1.0
microarray data,0.4
software-based self-testing,0.9
a matroid,0.7
self-monitoring systems,0.25
predictions using,0.55
crypto machines,0.55
the solution,0.1
wavelet,0.5
masking,0.3
security architectures,0.85
socle series,0.05
direct effects,0.1
efficiency,0.15
agent environment,0.65
key,0.2
digital crime,0.3
anti-dos cookies,0.55
e-learning,0.1
problem,0.3
epiretinal devices,0.0
specimen preparation,0.0
metabotropic receptors,0.0
simes ',0.0
multi-source,0.4
cryptosystems,0.7
qfd,0.0
cellml,0.25
estimation,0.35
biometric technologies,0.85
distribution algorithms,0.85
neural sequence labeling,0.85
predication,0.4
neuro-fuzzy systems,0.75
governance ecosystem,0.05
control theory,0.25
spatial generalization,0.25
geometries,0.2
sqp methods,0.45
redesigning games,0.45
online collaboration,0.35
ontologies,0.6
ccit2-code,0.15
diversity,0.0
unified design,0.4
eigener sache,0.0
subspace,0.3
gradient estimators,0.55
maximal matching,0.9
policy,0.1
a marketing,0.2
overlay-based dos,0.6
semidefinite,0.6
smartphones,0.2
rectifier potassium,0.0
perform optimization,0.9
glossary,0.05
mobile health,0.25
power-aware routing,0.3
cellular systems,0.15
pod-slurping,0.2
secrets,0.05
environmental systems,0.05
p-splines,1.0
network-on-chip design,0.5
openstreetmap,0.2
privacy-enhanced languages,0.9
co-design,0.3
facebook 's,0.6
neuron,0.1
surface,0.0
statistical analysis,0.35
hotelling 's,0.0
ambient-audio identification,0.3
the beholder,0.2
non-orthogonal,0.2
locating position,0.35
generic,0.05
divergences,0.1
computer-supported groups,0.45
intellectual capital,0.05
parts,0.05
speaker,0.15
ionic homeostasis,0.0
basal ganglia,0.0
ordinal,0.0
http,0.7
subthreshold amplitude,0.2
somatosensory neurons,0.05
user interfaces,1.0
fanets,0.0
effect,0.15
acoustic timbre,0.0
datenbanken,0.1
asymptotic polynomial-time,0.5
neurophysiology,0.05
polymorphism,0.4
commonsense knowledge,0.85
transaction,0.5
reflection,0.2
bootstrapping,0.2
visual surveillance,0.25
sparse constraints,0.9
ageing well,0.0
supervised data,0.6
domain experts,0.65
neuroinformatics,0.4
active learning,0.15
tracking objects,0.55
fire microarchitecture,0.65
sources,0.1
manifestation,0.0
composing identity,0.3
prox-regularization,0.1
coordination,0.05
electrotonic length,0.2
hackers,0.5
density,0.15
elicitation,0.3
neuronal signaling,0.0
multi-core systems,0.6
the interpretation,0.1
stack-based buffer,0.65
perform gradient,0.6
nonmonotonic,0.5
ellipses,0.1
criticality,0.2
rezension,0.0
confidential information,0.2
in-home monitoring,0.1
hippocampal memory,0.0
facility dispersion,0.3
self organizing,0.55
rnn architectures,1.0
wireless applications,0.25
xss,0.75
fingerprints,0.6
dictionaries,0.1
helly 's,0.0
xquery,0.7
payments,0.05
random initialization,0.7
setups,0.1
page,0.4
xsl,0.6
benzene,0.0
arbitrage,0.1
the a,0.1
rivest cipher,0.7
product form,0.1
twitter,0.3
homo,0.0
p3p,0.15
proofs,0.25
suffix arrays,0.85
intrusion detection,0.9
overlay,0.2
efficient encoding,0.7
e-mail,0.6
mutation,0.05
features optimized,0.85
intersections,0.0
self-hacking,0.65
limitations,0.0
meta-analysis,0.0
viirs,0.1
stream authentication,0.6
mobile technology,0.25
expansion,0.05
self-organization,0.1
key infrastructure,0.95
information flow,0.45
business flow,0.25
java,0.55
intelligent radar,0.15
spatio-temporal data,0.75
multigrid methods,0.6
video summarization,0.65
freedom,0.0
high-tech trade,0.05
scopus,0.0
state encodings,0.5
forensic implications,0.1
peer-to-peer systems,0.25
terminological reasoning,0.2
discretization,0.3
automata theory,0.8
small networks,0.4
primal,0.1
webgis,0.2
post-digital graphics,0.9
dempster 's,0.0
h.,0.0
nonparametric mixed,0.1
single neurons,0.15
utility,0.25
macroeconomics,0.0
w3c,0.8
networking,0.6
impatience,0.0
takagi-sugeno,0.7
invariant distributions,0.1
resource replication,0.6
browser security,1.0
generalized supermartingales,0.1
energy-saving techniques,0.05
triangular,0.1
escrow,0.35
self-localization,0.5
hierarchical,0.35
goals,0.05
overflow,0.5
ear,0.05
presuppositions,0.0
bivaldi,0.0
truncation,0.4
temporal analysis,0.45
sinusoids,0.3
uncertainty principle,0.1
the gap,0.1
pairing-based,0.25
gro,0.0
stories,0.1
hyperpolarization-activated,0.0
subspaces layers,0.6
regression analysis,0.1
linearity,0.3
fast arithmetic,0.75
perception dynamics,0.1
weltweiter benutzung,0.0
parallel data,0.65
color models,0.5
crystals,0.05
education,0.0
mapping objects,0.75
graph approach,0.8
functions,0.2
core topics,0.15
analogy-making,0.25
combining of,0.05
the importance,0.1
location-based service,0.45
midwifery,0.0
multi agent,0.95
misconceptions,0.1
jamming,0.1
linguistische,0.0
dependency parser,0.75
stap,0.0
value adts,0.4
in-vehicle,0.1
a 3d,0.6
downsizing,0.0
a hypergraph,0.5
due care,0.05
material handling,0.1
cross-entropy,0.8
time synchronization,0.4
blogs,0.35
cad tools,0.7
key management,0.75
diagnosis,0.05
validation,0.45
the evaluation,0.2
differential equations,0.1
distributed applications,0.95
sign language,0.05
reversibility,0.1
a hybrid,0.2
