noun_phrase,frequency,score
unknown dead-zone,2,0
absorption spectroscopy,2,0
wafer,2,0
pillars,2,0
configuration design,2,0
mesh smoothing,2,0
double-array structures,2,0
gripping,2,0
causal map,2,0
ankle rehabilitation,2,0
wall-following control,2,0
its prototype,2,0
cooccurrence matrices,2,0
the obstacle,2,0
human tutors,2,0
digital textbooks,2,0
database structure,2,0
call-centres,2,0
defective modules,2,0
real-time solution,2,0
wheelchair control,2,0
tool-support,2,0
policy requirements,2,0
mal-activity diagrams,2,0
semi-automatic annotation,2,0
executable,2,0
analyzing impacts,2,0
method selection,2,0
public organisations,2,0
designing secure,2,0
3-d floorplanning,2,0
hardware-software partitioning,2,0
codes+isss,2,0
a pre-compiler,2,0
potential analysis,2,0
instruction-level parallelism,2,0
subclass,2,0
reconfigurable platform,2,0
heterogeneous mpsoc,2,0
emsoft,2,0
imbalances,2,0
hybrid synchronization,2,0
equalizers,2,0
embedded controllers,2,0
functional verification,2,0
multiprocessor system-on-chip,2,0
systems-on-a-chip,2,0
hw,2,0
formal representation,2,0
capps,2,0
uml marte,2,0
aes algorithm,2,0
custom processors,2,0
wave method,2,0
multithreaded transactions,2,0
3d fft,2,0
coarse graining,2,0
piezoelectric coefficients,2,0
voftools,2,0
3.2,2,0
atomic vacancies,2,0
sector decomposition,2,0
pysecdec,2,0
wurtzite zno,2,0
the fedosov,2,0
level-set,2,0
x-ray imaging,2,0
wannier functions,2,0
abinit,2,0
gpusphase,2,0
2d sph,2,0
one-loop amplitudes,2,0
computational thermochemistry,2,0
decay chain,2,0
quantum wells,2,0
m-shell,2,0
low-density,2,0
chemps2,2,0
.7,2,0
hydrogen-like ions,2,0
dynamical approach,2,0
the space-time,2,0
ufo,2,0
pariser-parr-pople model,2,0
order infinity,2,0
condensed matter,2,0
multivariateresidues,2,0
the flux,2,0
a tokamak,2,0
damqt,2,0
gpelab,2,0
hotb,2,0
ganga,2,0
epw,2,0
feynman,2,0
stem cells,2,0
granular dynamics,2,0
multiply-charged clusters,2,0
the two-dimensional,2,0
small peptides,2,0
staggered fermions,2,0
apinetworks,2,0
the replacement,2,0
cadabra,2,0
nonlinear propagation,2,0
fokker-planck,2,0
neutrino telescopes,2,0
microrheology,2,0
plato,2,0
the force,2,0
multi-scale integrals,2,0
td,2,0
jaxodraw,2,0
genxicc,2,0
cp methods,2,0
dred,2,0
flapw methods,2,0
soft-core potentials,2,0
non-uniform timesteps,2,0
genasis basics,2,0
collider physics,2,0
martini straight,2,0
bout,2,0
capillaries,2,0
the hamiltonian,2,0
non-uniform meshes,2,0
three-dimensional fdtd,2,0
periodic ivps,2,0
scelib2,2,0
collision dynamics,2,0
a java,2,0
algorithmic derivation,2,0
harmonic polylogarithms,2,0
atmospheric muons,2,0
mupage,2,0
isph,2,0
awesome,2,0
homogeneous solids,2,0
torsional anharmonicity,2,0
interpolation routines,2,0
3d toroidal,2,0
cuda fortran,2,0
paciae 2.0,2,0
geometric configurations,2,0
2d clusters,2,0
v10,2,0
the full-potential,2,0
a nanopore,2,0
ferroelectric crystals,2,0
ultracold atoms,2,0
atomic hydrogen,2,0
analysis program,2,0
ensemble averaging,2,0
feynrules,2,0
fock space,2,0
geodesicviewer,2,0
columbus,2,0
higher-order formula,2,0
gprmax,2,0
tauola,2,0
entanglements,2,0
cmfd,2,0
geant4,2,0
4.3,2,0
nuclear physics,2,0
a week,2,0
quasilinearization,2,0
membrane proteins,2,0
the reflectance,2,0
cdf,2,0
tartarus,2,0
polyatomic molecules,2,0
fast alignment,2,0
model description,2,0
staggered grids,2,0
exafs spectra,2,0
chicom,2,0
strange attractors,2,0
trigonometrically-fitted method,2,0
cadna,2,0
nanoscience,2,0
iterative procedures,2,0
pfaffians,2,0
motion4d-library,2,0
multi-loop integrals,2,0
schwarzschild space-time,2,0
mellin,2,0
weight w,2,0
numerical relativity,2,0
spin-1,2,0
kantbp,2,0
optical force,2,0
particle-based simulations,2,0
central schemes,2,0
ekhara,2,0
bessel,2,0
feynhiggs,2,0
magnetohydrodynamics,2,0
the iterative,2,0
model-independent method,2,0
plasma-wall interactions,2,0
pythia8,2,0
structural variability,2,0
hadroproduction,2,0
minfinder,2,0
ce,2,0
surface tangents,2,0
lowest,2,0
full qcd,2,0
hypexp 2,2,0
the su,2,0
radiative events,2,0
the skyrme-hartree-fock-bogolyubov,2,0
matlab package,2,0
rescaling,2,0
sancscope,2,0
voronoi tessellations,2,0
turbulence modeling,2,0
dpd,2,0
quantum stochastic,2,0
curvilinear geometries,2,0
functional approach,2,0
iterative diagonalization,2,0
two-electron integrals,2,0
profess,2,0
modar,2,0
edge plasma,2,0
kinetic plasmas,2,0
polymer crystallization,2,0
yutsis,2,0
chiwei,2,0
fortran-77,2,0
festr,2,0
afmpb,2,0
higgs strahlung,2,0
exact-exchange calculations,2,0
inn,2,0
a parameterization,2,0
rkn-type methods,2,0
a multi-objective,2,0
sequences of,2,0
prolate spheroids,2,0
quantum approach,2,0
gibbs2,2,0
grow,2,0
ginzburg-landau equation,2,0
wang-landau algorithm,2,0
second ed.,2,0
kinematical calculations,2,0
tinker,2,0
relativistic,2,0
frodo,2,0
another one,2,0
combustion synthesis,2,0
eulerian vlasov,2,0
cylindrical geometry,2,0
master integrals,2,0
plane-wave density,2,0
spfp,2,0
pulse propagation,2,0
arbitrary-rank tensors,2,0
general geometry,2,0
higgsbounds,2,0
lep,2,0
the tevatron,2,0
qm/mm simulations,2,0
similar molecules,2,0
comparison research,2,0
configuration interactions,2,0
class 11,2,0
cowan 's,2,0
its first,2,0
symmetric solution,2,0
elecsus,2,0
wavepacket,2,0
material science,2,0
yang-mills theory,2,0
complex molecules,2,0
fringe,2,0
x-space,2,0
lime,2,0
the simulations,2,0
magnus integrators,2,0
globes,2,0
graphene nanoribbon,2,0
mamico,2,0
espresso +,2,0
beta-sic,2,0
open ocean,2,0
carlo,2,0
mathematica package,2,0
bo,2,0
lanhep,2,0
field theory,2,0
grasp92,2,0
gdf,2,0
wilson coefficients,2,0
sixth-order,2,0
ape,2,0
cell decomposition,2,0
.2,2,0
plnoise,2,0
maxwell solver,2,0
hadron collisions,2,0
fourier spectrum,2,0
equidistributed grids,2,0
htc,2,0
event-driven simulations,2,0
extreme eigenvalues,2,0
its formation,2,0
wolff algorithm,2,0
fourth-order,2,0
compact schemes,2,0
rngsselib,2,0
symplectic,2,0
a-g,2,0
-7,2,0
state library,2,0
hypersonic plasma,2,0
gold clusters,2,0
free-surface,2,0
molecular clusters,2,0
bilayers,2,0
hyperdire,2,0
a high-resolution,2,0
fourier method,2,0
band structures,2,0
wannier90,2,0
coulomb collisions,2,0
dipole moment,2,0
arkn methods,2,0
parthenope,2,0
mgo,2,0
higgs masses,2,0
the nmssm,2,0
the poles,2,0
nestedness,2,0
onetep,2,0
gpu-acceleration,2,0
protein-dna recognition,2,0
hfodd,2,0
emilia,2,0
multi-derivative,2,0
curvilinear grids,2,0
computational dynamics,2,0
starlight,2,0
lightweight middleware,2,0
structure formation,2,0
two-loop,2,0
dualsphysics,2,0
mhd equations,2,0
zigzag,2,0
mesh generator,2,0
master equation,2,0
first-principles study,2,0
the multiscale,2,0
bremsstrahlung,2,0
kernel optimization,2,0
micrographs,2,0
biological molecules,2,0
collective motions,2,0
laser pulses,2,0
first attempt,2,0
thermoelectric,2,0
python package,2,0
variable-density,2,0
two-particle,2,0
coffee,2,0
the dftb,2,0
realistic modeling,2,0
multi-layered programs,2,0
relativistic hydrodynamics,2,0
sushi,2,0
pumpkin,2,0
hdecay,2,0
esi,2,0
a markov,2,0
gpu support,2,0
taylur,2,0
the qcd,2,0
tokamak,2,0
secondary storage,2,0
nuclear collisions,2,0
functional computations,2,0
s-states,2,0
helium-like ions,2,0
complex masses,2,0
boundary element,2,0
acetylene,2,0
fmm-yukawa,2,0
polarimetry,2,0
iter,2,0
ller-plesset,2,0
finite-volume method,2,0
new modalities,2,0
constructive role,2,0
web page,2,0
simultaneous modelling,2,0
pothmf,2,0
atomic calculations,2,0
boltzwann,2,0
multi-scale simulations,2,0
gyrokinetics,2,0
dose optimization,2,0
multigrid treatment,2,0
openmm,2,0
multigrid approach,2,0
a multi-dimensional,2,0
trhd,2,0
sph schemes,2,0
rlw equation,2,0
streaming architectures,2,0
ver,2,0
boltzmann method,2,0
heuristic computation,2,0
clumpy,2,0
hybrid simulations,2,0
phast,2,0
triaxial deformations,2,0
spatial variations,2,0
qedmod,2,0
a fortran-90,2,0
epstein distribution,2,0
misalignments,2,0
gas discharges,2,0
langevin dynamics,2,0
dual-level,2,0
characteristic properties,2,0
euclidean data,2,0
relativistic theory,2,0
a pitfall,2,0
one-loop programs,2,0
triangular lattices,2,0
optimum filtering,2,0
lo,2,0
toroidal geometry,2,0
krylov methods,2,0
brownian dynamics,2,0
the pfaffian,2,0
biopolymers,2,0
feynman diagrams,2,0
grid deployment,2,0
scaling behavior,2,0
riemann,2,0
fixed-point iterations,2,0
rapid optimization,2,0
wile,2,0
bailey,2,0
nonequilibrium,2,0
step-size control,2,0
complex ions,2,0
neutral atoms,2,0
squids,2,0
non-isothermal diffusion,2,0
the conductances,2,0
tight-binding calculations,2,0
vlab,2,0
lattice simulations,2,0
rapid analysis,2,0
biomolecular electrostatics,2,0
platypus,2,0
a gpgpu,2,0
lie symmetries,2,0
imaging system,2,0
exact exchange,2,0
meamfit,2,0
a reference-free,2,0
rf-meam,2,0
stepsize control,2,0
sax,2,0
linearized,2,0
tiger2,2,0
a proof-of-principle,2,0
2.2,2,0
whole genomes,2,0
ornl,2,0
orbital-free density,2,0
barometer,2,0
mobile telecommunication,2,0
the sequencing,2,0
taxi data,2,0
e-business processes,2,0
experience with,2,0
support model,2,0
end-user behavior,2,0
structural characteristics,2,0
ontological analysis,2,0
web advertisements,2,0
consumer data,2,0
design analysis,2,0
hospital stay,2,0
kdd-based dss,2,0
decision-making algorithms,2,0
a consistency,2,0
it executives,2,0
efficient classifiers,2,0
rumor spread,2,0
supernetwork model,2,0
agvs,2,0
healthcare delivery,2,0
dc power,2,0
sample distributions,2,0
genie,2,0
holistic modelling,2,0
capital goods,2,0
problem-solving performance,2,0
optimal order,2,0
wingdss,2,0
member,2,0
traffic regulation,2,0
debiasing investors,2,0
sbas,2,0
issue trade-offs,2,0
caveat mercator,2,0
modeling processes,2,0
agent economies,2,0
review data,2,0
tenders,2,0
1971-1989,2,0
reevaluation,2,0
xbrl adoption,2,0
server approach,2,0
organizational adoption,2,0
workflow composition,2,0
a marketplace,2,0
modelling environment,2,0
ddm,2,0
review valence,2,0
ucc,2,0
the comprehensibility,2,0
buzz,2,0
the reinvention,2,0
micro-blogs,2,0
desiderata,2,0
wholesaler 's,2,0
past contributions,2,0
task-individual-technology fit,2,0
heterogeneous goods,2,0
knowledge retrieval,2,0
subjective data,2,0
collaborative response,2,0
in-store,2,0
due date,2,0
concession,2,0
enterprise risk,2,0
fuzzy query,2,0
simba,2,0
this brand,2,0
key antecedents,2,0
delivery performance,2,0
stepwise benchmarking,2,0
it adoption,2,0
data requirements,2,0
electronic intermediaries,2,0
ticket-switching,2,0
optimal timing,2,0
internet browsing,2,0
gamer loyalty,2,0
multi-dimensional modeling,2,0
relational division,2,0
object typicality,2,0
effective web,2,0
portfolio evaluation,2,0
executives ',2,0
subject categorization,2,0
wordnet 3.0,2,0
strategy-making,2,0
ambulance,2,0
port logistics,2,0
comorbidity,2,0
efficient maintenance,2,0
the platform,2,0
social factors,2,0
inroads,2,0
olap queries,2,0
weightedness,2,0
the workload,2,0
it assets,2,0
diversions,2,0
e-game,2,0
agile methodologies,2,0
veracity assessment,2,0
commerce processes,2,0
web retailers,2,0
meta-interpreters,2,0
b-to-c e-commerce,2,0
portfolio assessment,2,0
modeling users,2,0
their requirements,2,0
their antecedents,2,0
volatile demand,2,0
e-catalogs,2,0
e-business success,2,0
distrust,2,0
system usage,2,0
structures ',2,0
eye-movement data,2,0
online word,2,0
sealed-bid auctions,2,0
after-sales,2,0
text analytics,2,0
vmsa,2,0
group problem,2,0
co-production,2,0
evid,2,0
source credibility,2,0
senior executives,2,0
beer,2,0
the rd-tree,2,0
shortest-path algorithms,2,0
review process,2,0
pocket,2,0
data skewness,2,0
top-k retrieval,2,0
cpas,2,0
vector autoregression,2,0
resource complementarity,2,0
judea pearl,2,0
the run-time,2,0
university timetabling,2,0
bad-mouthing,2,0
decision-making process,2,0
financial text,2,0
online commerce,2,0
facebook posts,2,0
price formation,2,0
network governance,2,0
promising,2,0
ensemble machine,2,0
e-payment,2,0
planograms,2,0
endogenous participation,2,0
brokers ',2,0
spot market,2,0
star ratings,2,0
model composition,2,0
mobile coupons,2,0
employee alignment,2,0
rule-base anomalies,2,0
knowledge mapping,2,0
science approach,2,0
1997-2008,2,0
personalized search,2,0
fsc,2,0
pattern recognizer,2,0
governance practices,2,0
judgement,2,0
multivariate processes,2,0
specific approach,2,0
coplink,2,0
free-riding,2,0
tree matching,2,0
consumer empowerment,2,0
c50,2,0
order effect,2,0
newcomers,2,0
each,2,0
ownership structure,2,0
messaging,2,0
superedge,2,0
marine robotics,2,0
field deployment,2,0
multi-floor environments,2,0
hall sensors,2,0
sonar sensors,2,0
corridor environments,2,0
microscale,2,0
hand rehabilitation,2,0
cpg,2,0
mechatronic design,2,0
retinex algorithm,2,0
sparse control,2,0
home robot,2,0
sound design,2,0
restitution,2,0
distance mapping,2,0
humanoid 's,2,0
human 3d,2,0
corridor environment,2,0
human environments,2,0
underwater structures,2,0
educa,2,0
guava,2,0
un lenguaje,2,0
multi-agente,2,0
ns2,2,0
ontologias,2,0
tiempo real,2,0
sistema multiagente,2,0
datos,2,0
recomendaciones,2,0
ajuste,2,0
aspectos,2,0
transfemoral amputees,2,0
coca,2,0
alternativa,2,0
hips,2,0
modelos,2,0
ambiente,2,0
funciones,2,0
basados,2,0
iam,2,0
agentes,2,0
problemas,2,0
sig,2,0
del desempe,2,0
virtuales,2,0
usando,2,0
universidad,2,0
b-learning,2,0
hybrid memories,2,0
additional observations,2,0
kingman 's,2,0
lru caching,2,0
modeling system,2,0
mobile vr,2,0
fast-convergence,2,0
eth,2,0
dcn,2,0
last summer,2,0
parallel hevs,2,0
rural australia,2,0
generalized selection,2,0
opportunistic relay,2,0
aperture selection,2,0
rubble,2,0
high-altitude platforms,2,0
system structure,2,0
the dsrc,2,0
pseudonym,2,0
blind decoding,2,0
wave-enabled vanets,2,0
local delay,2,0
wide-band cdma,2,0
artificial neural,2,0
fractional sampling,2,0
twcl,2,0
emb,2,0
ofdm-cdma,2,0
carrier-frequency,2,0
throughput fairness,2,0
jammer selection,2,0
modulation design,2,0
uwb wpan,2,0
duty-cycled wsns,2,0
ofdm performance,2,0
non-line-of-sight environment,2,0
multiuser single-carrier,2,0
feature salience,2,0
dso,2,0
cbtc,2,0
impulse responses,2,0
mix zones,2,0
their placement,2,0
layout designs,2,0
multiuser environments,2,0
delay optimization,2,0
the autonomy,2,0
null subcarriers,2,0
latency minimization,2,0
wcdma uplink,2,0
emergency data,2,0
dpsk modulation,2,0
electric scooters,2,0
multiuser downlink,2,0
variable-rate,2,0
power-domain noma,2,0
rollover avoidance,2,0
network interference,2,0
4-dqpsk,2,0
projection-based,2,0
quadrature spatial,2,0
smooth handoffs,2,0
hardware imperfections,2,0
opportunistic noma,2,0
bitplanes,2,0
self-coexistence,2,0
tvws,2,0
spectrum selection,2,0
svc multicast,2,0
dapsk,2,0
handoff minimization,2,0
lithium batteries,2,0
condition recognition,2,0
fuel economy,2,0
proactive jamming,2,0
prototype filter,2,0
magnetic markers,2,0
mimo antennae,2,0
transceiver impairments,2,0
self-organizing control,2,0
differential sensing,2,0
relay deployment,2,0
group paging,2,0
fast retrial,2,0
car-following control,2,0
network tomography,2,0
ds/cdma system,2,0
divisible distributions,2,0
massive-mimo,2,0
subspace selection,2,0
rrm,2,0
multibeam,2,0
security provisioning,2,0
ses,2,0
emi noise,2,0
sensing-based spectrum,2,0
gmr sensors,2,0
space-time equalization,2,0
tag selection,2,0
quantize,2,0
multicast streaming,2,0
boc,2,0
trellis-coded modulation,2,0
outsourced cloud,2,0
optimal frame,2,0
frame length,2,0
multiantenna spectrum,2,0
sic receivers,2,0
constructive interference,2,0
motion system,2,0
turbo compressed,2,0
lte-advanced downlink,2,0
series-connected supercapacitors,2,0
wavelet feature,2,0
intercell interference,2,0
alamouti 's,2,0
secondary network,2,0
correlation modeling,2,0
companding,2,0
v2v,2,0
rule-based control,2,0
egc,2,0
lmmse receivers,2,0
m-ary qam,2,0
wcdma base-station,2,0
spath,2,0
efficient video,2,0
equivalent-input-disturbance approach,2,0
scalable bitstreams,2,0
point matching,2,0
primary network,2,0
laurent 's,2,0
turbo receivers,2,0
proactive interference,2,0
constellation rotation,2,0
much data,2,0
handoff effect,2,0
mitigating interference,2,0
lte-a uplink,2,0
cognitive relay,2,0
nbi mitigation,2,0
time-hopping uwb,2,0
zero-forcing receivers,2,0
spectral-efficient,2,0
backoff algorithms,2,0
edge users,2,0
apes,2,0
2.1 ghz,2,0
modeling uncertainties,2,0
rail potential,2,0
performance tradeoff,2,0
d2d content,2,0
linc transmitters,2,0
space-time correlation,2,0
930 mhz,2,0
two-dimensional simulator,2,0
multi-tenant c-ran,2,0
optimal resource,2,0
mismatched decoding,2,0
cellular cdma,2,0
femtocell,2,0
ggra,2,0
flexray,2,0
tropospheric,2,0
spatial propagation,2,0
the cold,2,0
reciprocity calibration,2,0
massive multiuser,2,0
theoretical analyses,2,0
onboard data,2,0
throughput scaling,2,0
the closed-loop,2,0
multi-resolution multicasting,2,0
amplify-and-forward relays,2,0
ricean model,2,0
least square,2,0
lr-wpans,2,0
externalities approach,2,0
convex geometry,2,0
thermal noise,2,0
cognitive wlan,2,0
uplink reception,2,0
selection strategy,2,0
one-bit quantization,2,0
vehicle-classification algorithm,2,0
nonlinear-control strategy,2,0
congestion relief,2,0
energy-efficient resource,2,0
time-varying arrays,2,0
unknown order,2,0
residual frequency,2,0
the pdf,2,0
smdp,2,0
doppler spectra,2,0
5.3,2,0
ser performance,2,0
multicast throughput,2,0
signalized intersection,2,0
electromechanical brake,2,0
joint downlink,2,0
the battery,2,0
energy-efficient spectrum,2,0
th-uwb,2,0
electro-thermal model,2,0
magneto-rheological damper,2,0
qos-driven,2,0
mtpa,2,0
array sensor,2,0
delay performance,2,0
mmsec,2,0
motorways,2,0
dcr,2,0
battery impedance,2,0
lte-advanced hetnets,2,0
degradation factors,2,0
energy-delay tradeoffs,2,0
fsk,2,0
low-complexity beam,2,0
cutoff rate,2,0
ssk,2,0
cognitive femtocells,2,0
tire-road friction,2,0
bandwidth-efficient,2,0
multi-operator,2,0
geometric symmetry,2,0
sector antennas,2,0
fiber-wireless uplink,2,0
spatially,2,0
nonconvex penalties,2,0
bandwidth asymmetry,2,0
afs,2,0
can network,2,0
switching characteristics,2,0
multi-hop ieee,2,0
dvb-t2,2,0
orthogonal beamforming,2,0
optimal calibration,2,0
the next-generation,2,0
qrd-based,2,0
multiple rounds,2,0
short memory,2,0
positioning algorithms,2,0
nonline-of-sight environments,2,0
cross-qam,2,0
error-control schemes,2,0
gps/ins,2,0
turbo-coded cdma,2,0
quality-of-service requirements,2,0
constellation randomization,2,0
joint coverage,2,0
nakagami distributions,2,0
iteratively,2,0
cognitive 5g,2,0
long-range-dependent traffic,2,0
multilevel modulations,2,0
pricing game,2,0
mobility load,2,0
handoff traffic,2,0
effective state,2,0
serial acquisition,2,0
smpt,2,0
digital predistorter,2,0
linear constellation,2,0
antenna pattern,2,0
soft-decision,2,0
acquisition performance,2,0
iq imbalances,2,0
polar-coded,2,0
moca,2,0
aser analysis,2,0
millimeter-wave propagation,2,0
efficient multicast,2,0
mram,2,0
a limiter,2,0
interference-limited destination,2,0
smart jamming,2,0
uav relay,2,0
blockage,2,0
finite-alphabet signaling,2,0
real-world driving,2,0
geometry modeling,2,0
spectrum use,2,0
m-psk modulation,2,0
system imperfections,2,0
lte hetnets,2,0
preemptive,2,0
multiband ofdm,2,0
area design,2,0
bridge performance,2,0
ef,2,0
motor driving,2,0
torque distribution,2,0
sers,2,0
relay beamforming,2,0
antenna subarrays,2,0
handoff cost,2,0
soft faults,2,0
heterogeneous coexistence,2,0
clutch,2,0
delay-sensitive users,2,0
ds-uwb,2,0
traffic asymmetry,2,0
its usage,2,0
rovers,2,0
ac machine,2,0
variable inductor,2,0
local data,2,0
single-carrier fdma,2,0
the cdma,2,0
cross-modulation,2,0
state-of-charge,2,0
multiservice,2,0
ergodic,2,0
1-bit feedback,2,0
imt-2000,2,0
20 km,2,0
millimeter-wave system,2,0
transient characteristics,2,0
linear fusion,2,0
bearer reservation,2,0
equilibriums,2,0
poisson point,2,0
road type,2,0
turbo-coded,2,0
qpsk modulation,2,0
range model,2,0
discrete-time modeling,2,0
psr,2,0
guard zone,2,0
constant-power loads,2,0
subzero temperatures,2,0
roamer,2,0
collaborative data,2,0
space-shift,2,0
alignment approach,2,0
optimal relay,2,0
significance analysis,2,0
uncertain distribution,2,0
nlos propagation,2,0
temporal correlations,2,0
fox 's,2,0
spectral leakage,2,0
threshold test,2,0
tv spectrum,2,0
tagged preambles,2,0
the tvws,2,0
wideband converter,2,0
radio resource,2,0
iterative approaches,2,0
multiaccess,2,0
coverage strategy,2,0
multicode ds/cdma,2,0
alamouti ostbc,2,0
configuration analysis,2,0
ctrust,2,0
multirate wlans,2,0
hybrid traffic,2,0
reflectors,2,0
multiantenna,2,0
indoor propagation,2,0
fdtd method,2,0
spatial averaging,2,0
load optimization,2,0
pdfs,2,0
clients ',2,0
single cell,2,0
sparse fusion,2,0
4g/5g,2,0
unsaturated traffic,2,0
spectral reuse,2,0
impedance modeling,2,0
multi-antenna sources,2,0
check-ins,2,0
filter structures,2,0
polarization properties,2,0
frequency band,2,0
abnormal,2,0
farewell message,2,0
fault mitigation,2,0
ofdm waveforms,2,0
lte mtc,2,0
the mobile,2,0
outage behavior,2,0
3d lidar,2,0
map-based,2,0
hspa,2,0
a hev,2,0
spectral analyses,2,0
multi-rat,2,0
post-disaster,2,0
voice/data,2,0
rf recharging,2,0
sphericity,2,0
mimo hsdpa,2,0
unicast traffic,2,0
low rf-complexity,2,0
vbr traffic,2,0
energy-efficient swipt,2,0
fully digital,2,0
rate-splitting,2,0
dual selection,2,0
connectivity optimization,2,0
massive antennas,2,0
reverberation chamber,2,0
state-derivative feedback,2,0
collaborative localization,2,0
full-bridge,2,0
heterogeneous vanets,2,0
direct localization,2,0
overtaking,2,0
lossy-forward relaying,2,0
decision-feedback,2,0
ship navigation,2,0
soft handover,2,0
load condition,2,0
intercarrier interference,2,0
office environments,2,0
novel power,2,0
antijamming performance,2,0
multiple destinations,2,0
best-path selection,2,0
cci,2,0
urban hotspots,2,0
on-line control,2,0
videoconference traffic,2,0
hsr,2,0
aerial platforms,2,0
laser diodes,2,0
auction-based,2,0
massive mtc,2,0
efficient usage,2,0
ssk modulation,2,0
computational speed,2,0
max-min throughput,2,0
downlink mimo-scma,2,0
a twist,2,0
space-frequency correlation,2,0
ecus,2,0
zero-forcing precoding,2,0
ofdm signaling,2,0
performance synthesis,2,0
capture effect,2,0
ofdm-based waveforms,2,0
the csi,2,0
lsd,2,0
filter-based,2,0
electrohydraulic actuators,2,0
small buffers,2,0
ofdm-cdma receivers,2,0
ds-cdma network,2,0
over-the-air computation,2,0
all-ip,2,0
a front,2,0
mimo two-way,2,0
handoff delay,2,0
spectrum auction,2,0
generalized performance,2,0
wifi offloading,2,0
non-cooperative,2,0
stackelberg,2,0
coarse quantization,2,0
radiated emi,2,0
prototype filters,2,0
full-duplex non-orthogonal,2,0
limited-feedback precoding,2,0
autocorrelation-based algorithm,2,0
self-estimation,2,0
cs fallback,2,0
5g waveforms,2,0
electrothermal modeling,2,0
tdd/fdd,2,0
battery/supercapacitor,2,0
induction-motor drive,2,0
uncoded,2,0
efficient quality-of-service,2,0
differential qam,2,0
suboptimal,2,0
reconfiguration strategy,2,0
power-splitting,2,0
economic considerations,2,0
rectangular qam,2,0
spatial-temporal correlation,2,0
antenna configurations,2,0
fast handover,2,0
self-image,2,0
opportunistic decode-and-forward,2,0
mfsk modulation,2,0
intracell,2,0
spatio-temporal gaussian,2,0
maximum-likelihood decoding,2,0
linear metros,2,0
noise correlation,2,0
uav 's,2,0
time distributions,2,0
scalable videos,2,0
spectrum databases,2,0
dave,2,0
bio-inspired,2,0
disjoint difference,2,0
a provable,2,0
two-cell,2,0
mimo-mac,2,0
switch-and-examine,2,0
postselection,2,0
mimo decoders,2,0
energy-efficient traffic,2,0
egc receivers,2,0
stochastic traffic,2,0
dft-spread ofdm,2,0
half-duplex relays,2,0
temporal reuse,2,0
fde,2,0
small-sized data,2,0
the sparsity,2,0
moment analysis,2,0
live video,2,0
slave-slave bridging,2,0
wind environments,2,0
data disseminations,2,0
mobile iptv,2,0
ap selection,2,0
two-branch,2,0
demodulate-and-forward,2,0
low-complexity design,2,0
downlink c-ran,2,0
sublinear,2,0
queueing behavior,2,0
joint overlay,2,0
multicast manets,2,0
steer-by-wire system,2,0
glrt,2,0
lte-a network,2,0
aeronautical,2,0
gold sequences,2,0
beamformer designs,2,0
psk modulation,2,0
bidirectional traffic,2,0
fast chargers,2,0
ary fsk,2,0
rank kriging,2,0
cochannel interferences,2,0
a difficulty,2,0
query characteristics,2,0
journal literature,2,0
the measurability,2,0
pl/i programming,2,0
knowledge efficiency,2,0
recollections,2,0
teens ',2,0
leonardo 's,2,0
poisson assumptions,2,0
the cohesion,2,0
the zen,2,0
scientometric indicators,2,0
co-occurrence matrices,2,0
hypertext data,2,0
its peers,2,0
the backlog,2,0
library data,2,0
columnists,2,0
genomic databases,2,0
knowledge formation,2,0
video technologies,2,0
people search,2,0
richness,2,0
the ddc,2,0
rawls,2,0
known-item,2,0
surname,2,0
pubmed central,2,0
the rasch,2,0
search keywords,2,0
seeker,2,0
small institutions,2,0
jean tague-sutcliffe,2,0
term importance,2,0
maintenance system,2,0
buck 's,2,0
web forum,2,0
relevance propagation,2,0
exponential decrease,2,0
the not,2,0
loet leydesdorff,2,0
swanson 's,2,0
nicoletta calzolari,2,0
rita marcella,2,0
arthur maltby,2,0
metadata completeness,2,0
the drawing,2,0
socio-economic factors,2,0
digital methods,2,0
twitter search,2,0
the meat,2,0
2005-2012,2,0
current characteristics,2,0
full-text retrieval,2,0
individual privacy,2,0
chat reference,2,0
community online,2,0
digital capital,2,0
the leiden,2,0
ranking 2011/2012,2,0
incremental benefit,2,0
relevance research,2,0
the colloquium,2,0
3-6,2,0
informetric data,2,0
another example,2,0
digital electronics,2,0
research institutions,2,0
journal impact,2,0
internet freedom,2,0
nobel laureates,2,0
group cognition,2,0
mysteries,2,0
the deep,2,0
value change,2,0
jung,2,0
ro,2,0
bilingual corpora,2,0
log analysis,2,0
border security,2,0
medlineplus,2,0
the gatekeepers,2,0
library journals,2,0
1945-2012,2,0
advancing knowledge,2,0
their complementarity,2,0
listed firms,2,0
atherton seidell,2,0
rousseau,2,0
type/token-taken informetrics,2,0
pauline,2,0
the microcomputer,2,0
the contexts,2,0
gipsy,2,0
genre,2,0
journal self-citations,2,0
web robots,2,0
structural modeling,2,0
health research,2,0
the conduit,2,0
orthography,2,0
electronic delivery,2,0
library users,2,0
joseph becker,2,0
a drug,2,0
intermediaries ',2,0
the epidemiology,2,0
search behavior,2,0
pharmacology,2,0
disciplinary research,2,0
knowledge-sharing behavior,2,0
lisa gitelman,2,0
1990-2004,2,0
online disclosure,2,0
child pornography,2,0
a cognitive,2,0
research anxiety,2,0
fair-use,2,0
title length,2,0
remembrances,2,0
brian kahin,2,0
diffusion theory,2,0
informal text,2,0
captions,2,0
urban teenagers,2,0
faculty use,2,0
edward barrett,2,0
